Restaurant Name,City,Cuisines,Aggregate rating,Average Cost for two
Shree Ram Sweet Centre,New Delhi,"Mithai, Street Food",2.7,150
Teflas,New Delhi,"North Indian, Chinese",3.4,300
The Viraj Food Zone,New Delhi,"North Indian, Chinese",3.2,500
RollsKing,New Delhi,Fast Food,3.5,300
Secular House Canteen,New Delhi,"North Indian, Mughlai, Chinese",3.8,600
Amul Ice-Cream Parlour,New Delhi,Ice Cream,0.0,200
Sunny Restaurant & Tiffin,New Delhi,North Indian,0.0,400
Kerala Cafe,New Delhi,"North Indian, South Indian",2.3,150
Veer Jee Restaurant,New Delhi,"North Indian, Mughlai",3.1,450
Oval Bar - JW Marriott New Delhi,New Delhi,Finger Food,3.3,4500
Bakey Wish,New Delhi,"Bakery, Desserts",3.0,300
Bikaner Namkeen Bhandar,New Delhi,"Mithai, Street Food",3.1,150
Chhole Bhature Corner,New Delhi,North Indian,3.3,150
Fresh n Frozen,New Delhi,"Raw Meats, Fast Food",3.1,200
Pind Punjabi,New Delhi,North Indian,3.0,500
Sanjha Chulha,New Delhi,"North Indian, Mughlai",3.1,700
Shaan e Punjab,New Delhi,"North Indian, Mughlai",3.1,600
Cafe 27,New Delhi,"North Indian, Chinese, Italian",3.6,1550
MR.D - Deliciousness Delivered,New Delhi,"North Indian, Italian, Chinese",3.5,700
Pita Pit,New Delhi,"Healthy Food, Salad",3.8,600
Al-Malik Chicken Point,New Delhi,"North Indian, Mughlai",0.0,400
Amul Sweets & Bakery,New Delhi,"North Indian, South Indian, Chinese, Fast Food, Bakery, Mithai",0.0,300
Elements - Mapple Express,New Delhi,"North Indian, Continental, Chinese",0.0,1200
Food 24,New Delhi,"North Indian, Mughlai",0.0,400
Food Corner,New Delhi,North Indian,0.0,100
Food Master's Galley,New Delhi,"North Indian, Chinese",0.0,150
Habibi Express,New Delhi,"Lebanese, Arabian, Moroccan",0.0,900
Hide Out Cafe,New Delhi,"Cafe, Chinese, Italian",0.0,700
Moriarty Delivers,New Delhi,Fast Food,0.0,400
Big Chill,New Delhi,"Italian, Continental, European, Cafe",4.4,1500
Maxims Pastry Shop,New Delhi,"Bakery, Desserts, Fast Food, Beverages",4.2,300
Uncultured Cafe & Bar,New Delhi,"Continental, Chinese, Italian, Finger Food",4.3,1500
2 Nice 2 Slice,New Delhi,"Bakery, Desserts",3.2,1750
Aggarwal Bikaneri Sweets,New Delhi,"Mithai, Street Food",2.9,250
Aggarwal Sweet Corner & Restaurant,New Delhi,"North Indian, South Indian, Chinese, Mithai",2.6,300
Aggarwal Sweets India,New Delhi,"Mithai, Street Food",2.8,100
Aggarwal's Sweets Paradise,New Delhi,"Mithai, North Indian, South Indian, Street Food",2.7,300
Aggarwal's Sweets,New Delhi,"Mithai, Street Food",2.9,150
Anna Ka Dosa,New Delhi,South Indian,3.4,200
Big Chow Xpress,New Delhi,"Chinese, North Indian",2.6,550
Bikaner Sweets & Namkeen,New Delhi,"Mithai, Street Food",2.9,200
Cafe Coffee Day,New Delhi,Cafe,2.9,450
Cake Plaza,New Delhi,"Bakery, Desserts, Fast Food",3.1,200
Crispy Tokri,New Delhi,Street Food,3.1,200
De Royale Food's,New Delhi,"North Indian, Chinese",3.2,550
Faasos,New Delhi,"North Indian, Fast Food",3.0,600
Fouji Da Vaishno Dhaba,New Delhi,North Indian,2.9,400
Fun Bytes,New Delhi,Fast Food,2.5,250
G's Patisserie,New Delhi,"Bakery, Desserts",2.8,600
Giani,New Delhi,"Ice Cream, Desserts",3.2,400
Gopals 56,New Delhi,"Ice Cream, Desserts",3.2,200
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",3.2,350
Heaven's Kitchen,New Delhi,"North Indian, Mughlai, Chinese",3.3,500
Heavens Food Corner,New Delhi,"North Indian, Mughlai, Chinese",2.8,500
Just Kababs,New Delhi,"Fast Food, North Indian",3.4,250
Keventers,New Delhi,Beverages,3.2,400
Komal Kitchen,New Delhi,North Indian,2.8,250
Kwality Sweets & Restaurant,New Delhi,South Indian,2.9,250
Mehak Food Corner,New Delhi,North Indian,3.2,350
Mr. Sub,New Delhi,Fast Food,3.2,400
Muradabadi Shahi Biryani & Chicken Corner,New Delhi,"North Indian, Biryani",2.6,450
Muradabadi,New Delhi,"Mughlai, Biryani",3.0,400
New Radhe Radhe Snacks Corner,New Delhi,North Indian,3.1,150
Nirula's Ice Cream,New Delhi,"Desserts, Ice Cream",3.2,250
Noor Restaurant,New Delhi,"North Indian, Mughlai, Chinese",3.4,550
Paul's Homemade,New Delhi,"Bakery, Desserts",3.1,500
Pinkom's Bar-Be-Que,New Delhi,"North Indian, Mughlai",3.2,350
Prince of China,New Delhi,"Thai, Chinese, Seafood",3.1,800
Punjabi Corner,New Delhi,North Indian,3.3,250
Punjabi Snacks,New Delhi,"Street Food, North Indian, South Indian",2.9,200
Quality Food Point,New Delhi,"North Indian, Fast Food, Mughlai",3.0,450
Radhe Shyam,New Delhi,Street Food,2.8,150
Raj South Indian Food,New Delhi,"South Indian, Chinese",3.0,250
Roll Club,New Delhi,Fast Food,3.3,250
Shameem Kabab Corner,New Delhi,"North Indian, Mughlai",3.3,700
Shiv Dhaba,New Delhi,"North Indian, Chinese",3.1,550
Silver Spoons,New Delhi,"North Indian, Street Food",2.7,350
Takkar Dhaba,New Delhi,North Indian,2.6,450
The Biryani Wallas,New Delhi,Biryani,3.2,650
The Tuck Shop,New Delhi,Fast Food,3.3,700
Uncle Xpress,New Delhi,Chinese,3.4,400
Vaishno Rasoi,New Delhi,North Indian,2.6,350
Vatika,New Delhi,"North Indian, Mughlai",2.7,550
Walk To Italy,New Delhi,Fast Food,3.1,300
Behrouz Biryani,New Delhi,Biryani,3.6,600
Big Dragon,New Delhi,"Chinese, Thai",3.6,800
Cafe Filter,New Delhi,"Fast Food, Italian, North Indian, Chinese",3.6,600
Chowki,New Delhi,North Indian,3.7,750
Circle Cafe and Bar,New Delhi,"Cafe, North Indian, Lebanese, Continental",3.5,800
FreshMenu,New Delhi,"Italian, Chinese, Continental, Thai, Mediterranean, Lebanese",3.6,600
Giani's,New Delhi,"Ice Cream, Desserts",3.5,400
Gopal's 56,New Delhi,"Ice Cream, Desserts, North Indian, Street Food",3.8,200
Instapizza,New Delhi,"Pizza, Fast Food",3.8,900
Just Vada Pav,New Delhi,Street Food,3.6,150
Khidmat,New Delhi,"North Indian, Mughlai, Chinese",3.6,1300
Naivedyam,New Delhi,South Indian,3.8,500
New Shere Punjab Dhaba,New Delhi,North Indian,3.6,600
Sant Sweets,New Delhi,"Street Food, North Indian, Mithai",3.5,250
Tikka- Way,New Delhi,"North Indian, Chinese",3.5,850
Bake Bite,New Delhi,"Bakery, Fast Food",0.0,250
Chinese Chaat Corner,New Delhi,Chinese,0.0,200
Chocofairies,New Delhi,Bakery,0.0,200
Punjabi Rasoi,New Delhi,North Indian,2.4,350
Punjabi Xpress,New Delhi,"North Indian, Chinese",2.3,400
The Cake Factory,New Delhi,"Bakery, Fast Food",2.3,400
"34, Chowringhee Lane",New Delhi,Fast Food,3.3,300
Annapurna Restaurant,New Delhi,"North Indian, Chinese",2.5,250
BTW,New Delhi,"Street Food, North Indian, South Indian, Chinese",3.1,400
Cafe Coffee Day,New Delhi,Cafe,3.3,450
Chawla's Chic Inn,New Delhi,"North Indian, Chinese",3.3,650
Chennai Hot Cafe,New Delhi,South Indian,3.4,300
Daawat E Mezbaan,New Delhi,"Mughlai, North Indian",3.1,800
Dessert in Desert,New Delhi,"Cafe, Fast Food, Desserts",3.4,450
Domino's Pizza,New Delhi,"Pizza, Fast Food",3.4,700
Filmy Cafe & Bar,New Delhi,"North Indian, Fast Food, Chinese, Continental",2.9,1200
Firenze,New Delhi,Cafe,2.8,500
Giani,New Delhi,"Ice Cream, Desserts",3.4,400
Gullu's,New Delhi,"North Indian, Mughlai",3.1,550
Manwhar,New Delhi,"South Indian, North Indian, Chinese",3.2,650
Midnight Hunger Hub,New Delhi,"North Indian, Fast Food, Italian, Asian",3.3,800
Mini Shop,New Delhi,"Fast Food, Beverages",3.3,150
Nine 75 Lounge & Bar,New Delhi,"Chinese, North Indian, Italian, Continental, Fast Food",3.2,800
Pradhan Ji Multi Cuisine Restaurant,New Delhi,"North Indian, Chinese, Continental",3.3,650
Punjabi Chaap Corner,New Delhi,North Indian,2.9,400
Sagar Ratna,New Delhi,"South Indian, North Indian, Chinese",2.7,600
Shiva Coffee & South Indian Fast Food,New Delhi,South Indian,2.7,300
The Ice Cafe,New Delhi,"Cafe, Chinese, Continental, Italian, Desserts, Beverages",3.2,400
Tikka Junction,New Delhi,"North Indian, Chinese",3.4,750
Trending Eats,New Delhi,"Italian, Fast Food",3.4,800
Twenty Four Seven,New Delhi,"Fast Food, North Indian",3.3,300
Vikrant Cafe,New Delhi,"South Indian, North Indian",3.3,550
Vishal Restaurant,New Delhi,North Indian,3.1,600
Badri Prasad Ramesh Kumar Caterers,New Delhi,North Indian,3.5,200
Bistro,New Delhi,Beverages,3.9,150
Chaudhary Sweets Corner,New Delhi,"Desserts, Beverages",3.8,300
Chowringhee,New Delhi,"Fast Food, Beverages",3.6,250
Cones & Curries,New Delhi,Fast Food,3.7,250
Darvesh Corner,New Delhi,North Indian,3.6,550
Deez Biryani & Kebabs,New Delhi,"Biryani, North Indian, Mughlai",3.7,650
Frozen Pan,New Delhi,"Ice Cream, Fast Food, Beverages",3.9,250
Giani's,New Delhi,"Ice Cream, Desserts",3.8,400
Havmor Ice Cream,New Delhi,Ice Cream,3.7,200
Keventers,New Delhi,Beverages,3.5,250
Manohar Bikkaneri,New Delhi,"Mithai, Chinese, Street Food",3.8,200
Manohar Bikkaneri,New Delhi,"Bakery, Chinese",3.6,200
Nukkadwala,New Delhi,"Fast Food, Street Food",3.7,300
Om Di Hatti,New Delhi,"Street Food, North Indian",3.7,100
Orange Tree Cafe,New Delhi,"Continental, Chinese, North Indian",3.5,600
Rigo Noodles,New Delhi,"Chinese, Thai",3.5,500
Sethi's The Cake Shop,New Delhi,"Bakery, Fast Food",3.9,200
Shake Square,New Delhi,"Beverages, Fast Food",3.6,400
Sharma Kachoriwala,New Delhi,Street Food,3.7,50
Shawarma Wala,New Delhi,Fast Food,3.7,300
Shree Rathnam,New Delhi,"South Indian, North Indian, Chinese",3.5,800
Shri Bankey Bihari Brajwasi Rasgulle Wala,New Delhi,"Mithai, Street Food",3.5,150
Sid's Kitchen,New Delhi,"North Indian, Chinese",3.8,500
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",3.5,500
Sweet Life By Henna,New Delhi,"Bakery, Desserts",3.5,400
The Midnight Heroes,New Delhi,"North Indian, Biryani, Chinese, Fast Food",3.8,950
Urban Hub,New Delhi,"Chinese, North Indian, Italian, Fast Food",3.6,1900
Vaishno Chat Bhandar,New Delhi,Street Food,3.9,150
Ved Dhaba,New Delhi,North Indian,3.5,300
Veg Ex,New Delhi,North Indian,3.6,500
Wokin Street,New Delhi,Chinese,3.6,300
Yadav Namkeens & Bakers,New Delhi,Bakery,3.5,100
Javed Chicken Corner,New Delhi,Mughlai,0.0,400
Kamal Chicken,New Delhi,"Mughlai, North Indian",0.0,500
Singh Chinese Fast Food,New Delhi,Chinese,0.0,200
Chill'm Bar & Cafe,New Delhi,"North Indian, Italian, Chinese, Fast Food",4.2,600
Coffee & Cream,New Delhi,"Beverages, Fast Food",4.0,400
Chawla Di Hutti,New Delhi,North Indian,3.1,700
Sher 'A' Punjab Bhojnalya,New Delhi,North Indian,3.3,600
Guru Rakha,New Delhi,North Indian,3.1,600
Shudh Vaishno Hotel,New Delhi,North Indian,3.4,450
Kumar Samose Wala,New Delhi,Street Food,4.1,100
Amigo's Deli,New Delhi,"Mughlai, Fast Food",3.2,350
Ananda Food Express,New Delhi,"North Indian, Chinese",3.2,450
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",3.4,350
Khana Vaana,New Delhi,"North Indian, South Indian, Chinese",3.4,300
Momoholic,New Delhi,"Chinese, Fast Food, Ice Cream",3.3,200
Nazeer Foods,New Delhi,"North Indian, Mughlai, Chinese",3.3,550
Pind Balluchi,New Delhi,"North Indian, Mughlai",2.6,850
Rumours,New Delhi,"North Indian, Chinese, Italian",3.4,1000
Spice Grill,New Delhi,"North Indian, Mughlai, Chinese, Continental",3.2,1300
Utopia,New Delhi,"North Indian, Mediterranean, Continental",3.2,1500
Aroma Rest O Bar,New Delhi,"North Indian, Mughlai, Chinese",3.6,800
Cafe Shloka,New Delhi,"Cafe, Italian, Chinese, North Indian",3.5,1000
Chawla's Tandoori Junction,New Delhi,North Indian,3.5,800
Desi Villa,New Delhi,"South Indian, North Indian, Chinese",3.7,800
Kanwarji's,New Delhi,"Street Food, Mithai",3.5,400
Palomino,New Delhi,"North Indian, Mughlai, Continental, Chinese",3.7,1600
Raasa The Luxuriate Fine Dine,New Delhi,"North Indian, Mughlai, Chinese",3.7,1150
Shiv Tikki Wala,New Delhi,"Street Food, North Indian",3.8,250
The Barbeque Company,New Delhi,"North Indian, Chinese, Continental",3.8,1300
The Wrap Factory,New Delhi,Fast Food,3.6,250
Urban Punjab,New Delhi,"North Indian, Chinese",3.5,750
Classic,New Delhi,"Desserts, Fast Food, Ice Cream",4.0,250
Goosebumps,New Delhi,"Ice Cream, Desserts",4.0,300
Adyar Ananda Bhavan,New Delhi,"South Indian, North Indian, Chinese, Street Food, Fast Food",2.8,500
Amma Mess,New Delhi,"South Indian, North Indian",3.4,250
Amritsari Chaap Corner,New Delhi,North Indian,2.9,200
Aroma Spice,New Delhi,"North Indian, Chinese",3.4,800
Boheme Cafe Bar,New Delhi,"North Indian, Chinese, Continental, Italian",3.2,1100
Cafe Coffee Day,New Delhi,Cafe,2.6,450
Chinese King,New Delhi,"Chinese, North Indian, Mughlai",2.5,450
Chopsuey,New Delhi,"Chinese, North Indian",3.2,600
Chowringhee,New Delhi,"North Indian, Chinese",3.4,600
Crossroad Bar and Restaurant,New Delhi,"North Indian, Chinese, Mughlai",3.0,700
Domino's Pizza,New Delhi,"Pizza, Fast Food",3.4,700
Giani's,New Delhi,"Ice Cream, Desserts",3.4,400
Giani,New Delhi,"Ice Cream, Desserts",2.7,400
Gulnar Bar Be Que,New Delhi,"North Indian, Chinese",3.1,700
Kwality Bengali Sweets,New Delhi,"Desserts, Mithai",2.9,200
Little Chef,New Delhi,"North Indian, Mughlai, Chinese, Fast Food",2.7,500
M J Dosa Corner,New Delhi,South Indian,2.9,150
Moolchand's,New Delhi,"North Indian, South Indian, Chinese, Fast Food",3.3,450
New Angaar Hyderabadi,New Delhi,Hyderabadi,3.1,750
New Frontier Hotel,New Delhi,North Indian,3.3,350
Oberoi Biryani,New Delhi,"North Indian, Mughlai",2.9,600
Om Ji Om,New Delhi,North Indian,3.2,500
Om Saravana Bhavan,New Delhi,South Indian,2.7,400
Pindi Meat,New Delhi,North Indian,3.4,300
Punjab Sweet Corner,New Delhi,"Fast Food, North Indian, South Indian, Chinese, Street Food, Mithai",3.3,350
R1 Lounge,New Delhi,"North Indian, Mughlai, Chinese",2.6,1100
R1 Take Away,New Delhi,"North Indian, Mughlai, Chinese",2.5,700
Raffles,New Delhi,"Fast Food, North Indian, Chinese",3.1,800
Raj Sweets,New Delhi,Mithai,2.8,150
Ramas Cafe,New Delhi,"South Indian, Chinese, North Indian",3.3,350
Sandoz,New Delhi,"North Indian, Chinese",3.4,550
Sandoz,New Delhi,"North Indian, Chinese",2.7,550
Shudh,New Delhi,"North Indian, Chinese, South Indian",3.1,600
Southy,New Delhi,South Indian,3.1,450
Spicy by Nature,New Delhi,"North Indian, Mughlai, Chinese",2.7,900
Spicy N Karara,New Delhi,"North Indian, Chinese, Fast Food",3.3,650
Spooky Sky,New Delhi,"Italian, Chinese, North Indian",3.4,650
Sri Krishna Udupi,New Delhi,South Indian,3.0,400
Tempting Restaurant,New Delhi,"Chinese, Mughlai, North Indian",2.7,750
The Smokin' Grill by The Flashback,New Delhi,Fast Food,3.3,400
Three Tuns,New Delhi,"European, Italian, Thai, Chinese, North Indian",3.2,1400
Wah Ji Wah,New Delhi,"North Indian, Chinese",2.5,500
Wow! Momo,New Delhi,"Tibetan, Fast Food",2.6,350
Wrap & Roll,New Delhi,"Fast Food, Chinese",3.4,400
Anjlika Pastry Shop,New Delhi,"Bakery, Desserts, Fast Food",3.6,400
Bakeology,New Delhi,"Bakery, Desserts",3.5,450
Changezi Chicken,New Delhi,"North Indian, Mughlai",3.7,650
Chargrill Resto Bar,New Delhi,"North Indian, European, South Indian",3.6,900
Chowringhee,New Delhi,Fast Food,3.7,200
Glenz Cafe N Bakers,New Delhi,"Cafe, Fast Food, Desserts",3.8,700
Happy2Bake,New Delhi,Bakery,3.5,300
Nazeer Foods,New Delhi,"Mughlai, North Indian",3.5,600
Pakode Ki Dukaan,New Delhi,Street Food,3.6,50
Peshawari Chicken Corner,New Delhi,North Indian,3.6,500
Prem Dhaba,New Delhi,North Indian,3.7,650
Ravi Raj Di Kulfi,New Delhi,Desserts,3.6,150
Shawarma King's,New Delhi,Fast Food,3.7,250
Shri Rama Restaurant,New Delhi,"North Indian, Chinese",3.5,600
Sri Balaji,New Delhi,"South Indian, North Indian",3.5,600
Standard Burfee,New Delhi,"Mithai, Street Food",3.8,200
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",3.6,500
Suruchi,New Delhi,"Gujarati, Rajasthani, North Indian, Fast Food",3.8,700
Tera Hotel,New Delhi,North Indian,3.5,350
The Diet Kitchen,New Delhi,"Continental, Healthy Food",3.7,700
The Spot,New Delhi,Chinese,3.5,350
Wrapss,New Delhi,"Chinese, Fast Food",3.5,350
Wrapss,New Delhi,"Chinese, Fast Food",3.5,350
Al Naseem Foods Shawarma,New Delhi,Fast Food,0.0,200
Ganpati Bhoj,New Delhi,North Indian,0.0,350
Pandit Dhaba,New Delhi,North Indian,0.0,300
Red Chili Potato,New Delhi,Chinese,0.0,150
Cafe Coffee Day,New Delhi,Cafe,2.3,450
Jade Garden,New Delhi,Finger Food,2.4,1000
Art of Spices,New Delhi,"Fast Food, North Indian, Mughlai",4.0,500
Sindhi Corner,New Delhi,Street Food,4.0,200
The Feast House,New Delhi,"Continental, North Indian, American, Italian, Mexican",4.3,1050
Zaffran,New Delhi,"North Indian, Mughlai",4.5,2000
McDonald's,New Delhi,"Fast Food, Burger",3.3,500
Captain Grub,New Delhi,"American, Fast Food",3.1,1000
M:Eat by Blanco,New Delhi,"Bakery, Desserts",3.3,300
Omazoni,New Delhi,"North Indian, Chinese, Mexican, Lebanese, Italian, Fast Food",2.5,650
Prabhu Chaat Bhandar,New Delhi,Street Food,3.2,150
Sugar & Spice - Le Marche,New Delhi,"Bakery, Fast Food",3.3,800
Big Chill,New Delhi,"Italian, Continental, European, Cafe",4.5,1500
Big Chill,New Delhi,"Italian, Continental, European, Cafe",4.6,1500
Amici Cafe,New Delhi,"Cafe, Pizza, Italian",3.8,1200
Azam's Mughlai,New Delhi,Mughlai,3.9,600
Boombox Cafe,New Delhi,"American, Italian, North Indian, Chinese, Lebanese",3.6,2000
Cafe Illuminatii,New Delhi,"Continental, Kashmiri, Italian, North Indian, Moroccan",3.6,2500
Cafe Turtle,New Delhi,"Cafe, Italian, Lebanese",3.6,1000
China Fare,New Delhi,Chinese,3.7,1000
Chokola,New Delhi,"Cafe, Desserts, Bakery",3.8,700
Cravings By Arshi Dhupia,New Delhi,"Bakery, Desserts, Fast Food",3.6,800
Harry's Bar + Cafe,New Delhi,"Mediterranean, American, Asian",3.7,1700
Khan Chacha,New Delhi,"Mughlai, North Indian",3.7,650
La Bodega,New Delhi,Mexican,3.6,1700
La Vie,New Delhi,"Italian, European",3.9,1400
Latitude 28,New Delhi,"American, Continental, Italian",3.8,2000
Laziz Kabab (Subhash Restaurant),New Delhi,Mughlai,3.7,400
Mr. Choy,New Delhi,"Seafood, Chinese, Japanese, Vietnamese, Asian, Thai",3.9,1200
Public Affair,New Delhi,European,3.8,2100
Qureshi Kabab,New Delhi,Mughlai,3.5,450
Side Wok,New Delhi,"Burmese, Chinese, Japanese, Malaysian, Thai",3.9,2000
Subway,New Delhi,"American, Fast Food, Salad, Healthy Food",3.7,500
t Lounge by Dilmah,New Delhi,"Cafe, Tea, Desserts",3.6,800
The Blue Door Cafe,New Delhi,"Italian, French, European, Cafe",3.7,1700
The Coffee Bean & Tea Leaf,New Delhi,Cafe,3.8,700
Town Hall,New Delhi,"Japanese, Thai, Italian, Asian",3.8,2500
Wok  In The Clouds,New Delhi,"Chinese, Thai, Continental, North Indian",3.8,2000
Cafe Coffee Day,New Delhi,Cafe,0.0,450
Civil House,New Delhi,"European, Continental, Pizza",4.2,1700
L'Opera,New Delhi,"Bakery, Desserts, Fast Food",4.0,400
Mamagoto,New Delhi,"Asian, Thai, Chinese",4.1,1600
Out Of The Box,New Delhi,"North Indian, Lebanese, Mexican, Asian, Italian, American, European",4.0,1550
Parallel,New Delhi,"Continental, American",4.0,2000
Perch Wine & Coffee Bar,New Delhi,"Cafe, European",4.2,2000
Smoke House Deli,New Delhi,"Italian, European, Cafe",4.0,1650
Smokey's BBQ and Grill,New Delhi,"American, European",4.2,2100
SodaBottleOpenerWala,New Delhi,"Parsi, Iranian",4.2,1300
The Artful Baker,New Delhi,"Bakery, Fast Food",4.0,600
The Big Chill Cakery,New Delhi,"Bakery, Desserts",4.4,700
The Chatter House,New Delhi,"Finger Food, Italian, North Indian",4.2,1800
Amaze Dining,New Delhi,"North Indian, Chinese",3.1,1100
Amritsari Naan & Kulcha,New Delhi,North Indian,3.1,250
Bangla Sweets,New Delhi,"Mithai, North Indian, South Indian, Chinese, Bakery",3.3,450
Bj's Lounge & Cafe,New Delhi,"North Indian, Chinese",3.0,700
BTW,New Delhi,"Street Food, South Indian, Mithai",3.2,400
Cabana's Kabab & Curry's,New Delhi,"North Indian, Mughlai, Chinese",3.3,450
Cafe Coffee Day,New Delhi,Cafe,3.2,450
Chaap Point,New Delhi,Fast Food,3.2,150
Chicken Chilli Corner,New Delhi,"Chinese, North Indian",3.1,500
Chinese Dragon,New Delhi,"Chinese, Fast Food",2.6,550
Copper Restro Bar,New Delhi,"North Indian, Chinese, Continental",2.8,1200
Corner Sweets,New Delhi,"Mithai, Street Food",3.2,200
D'Casa,New Delhi,"North Indian, Chinese, Italian, Fast Food",2.7,1100
Delhi 15,New Delhi,"North Indian, Mughlai, Chinese",2.7,800
Dialogue Lounge & CafÃ­Â©,New Delhi,"Cafe, Continental",3.0,750
Domino's Pizza,New Delhi,"Pizza, Fast Food",3.3,700
Flavours From Heaven,New Delhi,"North Indian, Chinese",3.3,650
Flavours Of Biryani,New Delhi,"Biryani, Mughlai",3.3,400
Flirty Momo's,New Delhi,Chinese,3.0,350
Gedi Grill,New Delhi,"North Indian, Mughlai, Chinese",3.4,700
Green Chick Chop,New Delhi,"Raw Meats, North Indian, Fast Food",2.7,350
Indian Bites,New Delhi,"North Indian, Chinese, Continental",2.7,550
Karan's Vaishno Dhaba,New Delhi,North Indian,3.2,300
Le Swaadik,New Delhi,"North Indian, Chinese",3.3,500
Let's Meet Up,New Delhi,"Fast Food, Bakery",3.2,350
Madan's Kabab Centre,New Delhi,"North Indian, Mughlai",3.2,600
Midnight Fries,New Delhi,"Chinese, Italian, Fast Food",2.7,550
Moradabadi Biryani,New Delhi,"Lucknowi, Biryani",3.1,300
Namdhari's Icecream & Bakers,New Delhi,"Desserts, Bakery, Fast Food",2.8,300
Pahariya Chicken Corner,New Delhi,"Raw Meats, Fast Food",3.1,400
Pahariya Chicken,New Delhi,North Indian,2.7,450
Pappi Machhi Wala,New Delhi,North Indian,3.2,450
Pizza Hut Delivery,New Delhi,"Italian, Pizza, Fast Food",2.6,800
Polka Cakes & Coffee,New Delhi,"Fast Food, Chinese, Bakery",3.3,400
Punjabi Joint,New Delhi,"Mughlai, North Indian, Chinese",2.8,600
Rain Tree Grill,New Delhi,"North Indian, Chinese, Mughlai",3.2,1200
Resunga Food Corner,New Delhi,"Chinese, Mughlai",3.0,600
Shri Ram Poori Wale,New Delhi,Street Food,2.8,50
Supa's Restaurant,New Delhi,"North Indian, Chinese",3.2,800
Swad Fast Food,New Delhi,"Chinese, South Indian",2.9,300
Syall Kotian Da Dhaba,New Delhi,North Indian,3.0,600
The Krib,New Delhi,"Italian, Continental",3.2,2500
Turtle Bay,New Delhi,"North Indian, Chinese, Fast Food",3.4,1100
Yakooz,New Delhi,"Hyderabadi, North Indian",3.1,550
Above & Beyond,New Delhi,"North Indian, Chinese, Mughlai, Continental",3.5,1200
Bawa Chicken,New Delhi,"North Indian, Mughlai, Chinese",3.5,650
Chatore,New Delhi,Street Food,3.6,250
Chocomore,New Delhi,Bakery,3.7,500
Clay 1 Grill,New Delhi,"North Indian, Mughlai",3.6,1000
Firangi Island,New Delhi,"North Indian, Chinese, Continental, Italian",3.5,1200
Jeet Chaat Bhandar,New Delhi,Street Food,3.5,150
Mr. Grill,New Delhi,"North Indian, Chinese",3.6,600
Tikka Junction,New Delhi,"North Indian, Chinese",3.5,750
Momos Hut & Chinese Food,New Delhi,"Chinese, Fast Food",2.4,500
Wah Ji Wah,New Delhi,North Indian,2.1,350
Yo! China,New Delhi,Chinese,2.4,800
Aapki Apni Rasoi,New Delhi,North Indian,2.9,200
Aapki Rasoi,New Delhi,North Indian,3.0,250
Advance Bakery,New Delhi,"Bakery, Fast Food, Street Food",2.9,200
Apni Rasoi,New Delhi,"North Indian, Chinese",2.9,300
Bakeyard,New Delhi,Bakery,3.0,300
Bharat Chicken Inn Foods,New Delhi,Mughlai,2.9,400
Bobby Veg Corner,New Delhi,Chinese,2.9,350
Brunch Point,New Delhi,North Indian,2.9,150
Bunty Dhaba,New Delhi,"North Indian, Chinese",2.5,500
Chandni Chowk Ka Sonu Parathe Wala,New Delhi,Street Food,3.1,100
Chankya,New Delhi,"North Indian, Fast Food, South Indian",3.2,500
Chaudhary Di Hatti,New Delhi,"Desserts, Street Food",3.3,150
Cook Du Kdu,New Delhi,"North Indian, Chinese, Mughlai",3.2,650
Daawat Restaurant,New Delhi,"North Indian, Chinese, South Indian",3.3,500
Delhi Dairy,New Delhi,"Fast Food, North Indian, South Indian, Chinese, Bakery",3.2,350
Domino's Pizza,New Delhi,"Pizza, Fast Food",2.9,700
Domino's Pizza,New Delhi,"Pizza, Fast Food",3.1,700
F 2 Pastry Shop,New Delhi,"Bakery, Fast Food",3.3,150
Food Villa,New Delhi,"North Indian, Chinese",2.9,700
Goosebumps,New Delhi,"Ice Cream, Desserts",3.2,300
Gulab,New Delhi,"Mithai, North Indian",3.3,500
Health Buzzz,New Delhi,Healthy Food,3.1,350
Jain Dhaba,New Delhi,North Indian,3.2,400
Jeeta Kulfi Walle,New Delhi,Desserts,3.3,100
Kamal Meat House,New Delhi,North Indian,2.6,400
Katyani Rasoi,New Delhi,North Indian,3.2,300
Magic Masala,New Delhi,"North Indian, South Indian",3.0,400
Masala Magic,New Delhi,"North Indian, South Indian, Fast Food",3.0,400
Mother Sweets,New Delhi,Mithai,3.4,100
Panj Taara,New Delhi,North Indian,3.1,600
Prince Fried N Grilled Chicken,New Delhi,North Indian,2.7,450
Punjabi's Veg Grill,New Delhi,"North Indian, Fast Food",3.1,400
Raja Chat Corner,New Delhi,Street Food,3.3,100
Rajshree,New Delhi,"North Indian, Chinese",3.3,550
Sachdeva Chicken Corner,New Delhi,North Indian,3.4,500
Shree Rathnam,New Delhi,"South Indian, North Indian, Chinese",2.9,800
Sialkot,New Delhi,North Indian,3.1,250
Singh-O-Singh Kebabs,New Delhi,"North Indian, Mughlai",3.1,500
Super Snacks,New Delhi,"South Indian, Fast Food, Street Food",3.1,500
Tandoori Night,New Delhi,"North Indian, Mughlai",3.1,600
